IdArticu;IdFamilia;Familia
723455;22;ESP.   E.F.P
723500;2;ESPECIALIDADES
723501;2;ESPECIALIDADES
723558;2;ESPECIALIDADES
723566;2;ESPECIALIDADES
723603;1;NUEVO ESPECIALIDADES
723615;2;ESPECIALIDADES
723624;1;NUEVO ESPECIALIDADES
723641;20;ESP. PVP > 143,05 €
723692;2;ESPECIALIDADES
723723;2;ESPECIALIDADES
723743;2;ESPECIALIDADES
723747;2;ESPECIALIDADES
723749;1;NUEVO ESPECIALIDADES
723750;9;VETERINARIA
723751;2;ESPECIALIDADES
723758;23;ESP.   E.F.G
723759;2;ESPECIALIDADES
723768;2;ESPECIALIDADES
723773;2;ESPECIALIDADES
723798;2;ESPECIALIDADES
723799;2;ESPECIALIDADES
723800;2;ESPECIALIDADES
723801;2;ESPECIALIDADES
723826;2;ESPECIALIDADES
723827;2;ESPECIALIDADES
723828;1;NUEVO ESPECIALIDADES
723873;23;ESP.   E.F.G
723883;23;ESP.   E.F.G
723910;23;ESP.   E.F.G
723911;2;ESPECIALIDADES
723919;22;ESP.   E.F.P
723924;2;ESPECIALIDADES
723926;22;ESP.   E.F.P
723928;23;ESP.   E.F.G
723938;2;ESPECIALIDADES
723939;2;ESPECIALIDADES
723941;2;ESPECIALIDADES
723944;2;ESPECIALIDADES
723960;2;ESPECIALIDADES
723973;2;ESPECIALIDADES
724008;2;ESPECIALIDADES
724120;22;ESP.   E.F.P
724139;23;ESP.   E.F.G
724151;22;ESP.   E.F.P
724166;2;ESPECIALIDADES
724167;2;ESPECIALIDADES
724173;23;ESP.   E.F.G
724198;1;NUEVO ESPECIALIDADES
724206;2;ESPECIALIDADES
724213;2;ESPECIALIDADES
724241;2;ESPECIALIDADES
724247;2;ESPECIALIDADES
724258;2;ESPECIALIDADES
724267;2;ESPECIALIDADES
724292;2;ESPECIALIDADES
724307;23;ESP.   E.F.G
724308;23;ESP.   E.F.G
724309;2;ESPECIALIDADES
724351;22;ESP.   E.F.P
724430;2;ESPECIALIDADES
724431;2;ESPECIALIDADES
724477;2;ESPECIALIDADES
724500;2;ESPECIALIDADES
724529;2;ESPECIALIDADES
724544;2;ESPECIALIDADES
724546;23;ESP.   E.F.G
724617;2;ESPECIALIDADES
724639;2;ESPECIALIDADES
724666;22;ESP.   E.F.P
724684;2;ESPECIALIDADES
724762;23;ESP.   E.F.G
724786;1;NUEVO ESPECIALIDADES
724787;2;ESPECIALIDADES
724969;2;ESPECIALIDADES
724970;23;ESP.   E.F.G
724972;23;ESP.   E.F.G
724973;23;ESP.   E.F.G
724981;2;ESPECIALIDADES
724989;2;ESPECIALIDADES
724999;20;ESP. PVP > 143,05 €
725028;2;ESPECIALIDADES
725035;23;ESP.   E.F.G
725036;2;ESPECIALIDADES
725039;22;ESP.   E.F.P
725044;2;ESPECIALIDADES
725051;22;ESP.   E.F.P
725069;2;ESPECIALIDADES
725072;22;ESP.   E.F.P
725093;23;ESP.   E.F.G
725095;2;ESPECIALIDADES
725101;2;ESPECIALIDADES
725111;23;ESP.   E.F.G
725117;22;ESP.   E.F.P
725118;22;ESP.   E.F.P
725174;22;ESP.   E.F.P
725185;23;ESP.   E.F.G
725197;2;ESPECIALIDADES
725199;2;ESPECIALIDADES
725200;2;ESPECIALIDADES
725202;2;ESPECIALIDADES
725208;22;ESP.   E.F.P
725238;2;ESPECIALIDADES
725241;2;ESPECIALIDADES
725289;2;ESPECIALIDADES
725298;23;ESP.   E.F.G
725307;23;ESP.   E.F.G
725309;22;ESP.   E.F.P
725315;2;ESPECIALIDADES
725351;23;ESP.   E.F.G
725365;2;ESPECIALIDADES
725397;23;ESP.   E.F.G
725484;22;ESP.   E.F.P
725531;2;ESPECIALIDADES
725577;23;ESP.   E.F.G
725578;23;ESP.   E.F.G
725643;23;ESP.   E.F.G
725667;23;ESP.   E.F.G
725702;2;ESPECIALIDADES
725797;1;NUEVO ESPECIALIDADES
725851;23;ESP.   E.F.G
725852;1;NUEVO ESPECIALIDADES
725854;2;ESPECIALIDADES
725856;20;ESP. PVP > 143,05 €
725902;2;ESPECIALIDADES
725904;2;ESPECIALIDADES
725916;2;ESPECIALIDADES
725944;23;ESP.   E.F.G
725946;2;ESPECIALIDADES
725948;2;ESPECIALIDADES
726000;23;ESP.   E.F.G
726067;23;ESP.   E.F.G
